Chemical Name	Chemical ID	CAS RN	Disease Name	Disease ID	Direct Evidence	Inference Network	Inference Score	Reference Count
Choline	D002794	62-49-7	COVID-19	MESH:D000086382	marker/mechanism	AGT|BTK|CCL2|CCL3|CSF3|IL10|IL1B|IL2|IL6|IL7|LZTFL1|TMPRSS2|TMPRSS4|TNF	11,34	13
perfluorobutyric acid	C033094	375-22-4	COVID-19	MESH:D000086382	marker/mechanism			1
Zinc	D015032	7440-66-6	COVID-19	MESH:D000086382	marker/mechanism|therapeutic	AGT|BSG|CCL2|CCL3|CRP|CSF3|CXCL10|CXCL8|IL10|IL1B|IL2|IL2RA|IL6|TMEM106B|TNF|UGCG	18,33	11
Active Hexose Correlated Compound	C499366		COVID-19	MESH:D000086382	therapeutic	CCL2|CXCL8|IL10|IL1B|IL2|IL6|TNF	31,61	6
Sirolimus	D020123	53123-88-9	COVID-19	MESH:D000086382	therapeutic	ACE2|AGT|BTK|CXCL10|CXCL8|IL10|IL1B|IL2|IL2RA|IL6|TNF	23,65	23
Hydroxychloroquine	D006886	118-42-3	COVID-19	MESH:D000086382	therapeutic	CCL2|CXCL10|CXCL8|IL10|IL1B|IL6|TNF	22,91	10
Lopinavir	D061466		COVID-19	MESH:D000086382	therapeutic	CCL2|CCL3|IL1B|IL6|TNF	22,65	9
Chloroquine	D002738	54-05-7	COVID-19	MESH:D000086382	therapeutic	ACE2|CCL2|CXCL10|CXCL8|IL10|IL1B|IL2|IL6|TNF	21,63	25
Losartan	D019808	114798-26-4	COVID-19	MESH:D000086382	therapeutic	ACE2|AGT|CCL2|CCL3|IL10|IL1B|IL6|TNF	21,39	21
Ritonavir	D019438		COVID-19	MESH:D000086382	therapeutic	CCL2|CCL3|CXCL10|CXCL8|IL6|IL7|TNF	20,93	7
Dactinomycin	D003609	50-76-0	COVID-19	MESH:D000086382	therapeutic	AGT|CCL2|CXCL8|IL10|IL1B|IL2|IL6|TNF	19,18	7
Melatonin	D008550	73-31-4	COVID-19	MESH:D000086382	therapeutic	AGT|CCL2|CXCL10|IL10|IL1B|IL2|IL6|TNF	17,25	8
Azithromycin	D017963	83905-01-5	COVID-19	MESH:D000086382	therapeutic	CCL2|CXCL8|IL1B|IL6|TNF	16,28	6
Ribavirin	D012254	36791-04-5	COVID-19	MESH:D000086382	therapeutic	IL10|IL1B|IL2|IL6|TNF	13,98	11
lopinavir-ritonavir drug combination	C558899		COVID-19	MESH:D000086382	therapeutic	CCL2|CXCL8|IL6	12,89	11
Emodin	D004642	518-82-1	COVID-19	MESH:D000086382	therapeutic	AGT|IL10|IL1B|IL6|TNF	12,63	7
Zinc Sulfate	D019287	7733-02-0	COVID-19	MESH:D000086382	therapeutic	CCL2|CSF3|CXCL8|IL1B|IL2|IL6|TNF|UGCG	12,23	7
camostat	C034532		COVID-19	MESH:D000086382	therapeutic	CCL2|TMPRSS2|TNF	12,02	5
Nifedipine	D009543	21829-25-4	COVID-19	MESH:D000086382	therapeutic	AGT|CCL2|CXCL8|IL1B|TNF	10,93	5
acalabrutinib	C000604908		COVID-19	MESH:D000086382	therapeutic	CRP|IL6	10,56	5
Tenofovir	D000068698		COVID-19	MESH:D000086382	therapeutic	CXCL8|TNF	6,36	3
(2-(2',3'-dihydrobenzo(1,4)dioxin-6'-yl)-2-hydroxy-1-pyrrolidin-1-ylmethylethyl)nonanoic acid amide	C520404		COVID-19	MESH:D000086382	therapeutic	UGCG	5,65	1
chloroquine diphosphate	C023676	50-63-5	COVID-19	MESH:D000086382	therapeutic	CXCL8|IL1B	5,47	7
Interferon-alpha	D016898		COVID-19	MESH:D000086382	therapeutic	IL7	4,57	3
baricitinib	C000596027		COVID-19	MESH:D000086382	therapeutic	CCL2	4,02	3
betulinic acid	C002070	472-15-1	COVID-19	MESH:D000086382	therapeutic	TNF	2,88	2
Mercaptopurine	D015122		COVID-19	MESH:D000086382	therapeutic	AGT	2,82	2
Ivermectin	D007559	70288-86-7	COVID-19	MESH:D000086382	therapeutic	BSG|CCL3|CRP|CXCL8|IL10|LZTFL1|TNF	2,46	8
2019-nCoV Vaccine mRNA-1273	D000090983		COVID-19	MESH:D000086382	therapeutic			1
(2-tert-butoxy-1-(2-cyclohexyl-1-(1-formyl-2-(2-oxopyrrolidin-3-yl)ethylcarbamoyl)ethylcarbamoyl)propyl)carbamic acid benzyl ester	C513370		COVID-19	MESH:D000086382	therapeutic			1
4-(4-guanidinobenzoyloxy)phenylacetic acid	C045130	71079-09-9	COVID-19	MESH:D000086382	therapeutic			1
5,5'-(5,5'-((1R,2R)-1,2-dihydroxyethane-1,2-diyl)bis(1,3,4-oxadiazole-5,2-diyl))dibenzene-1,2,3-triol	C000718387		COVID-19	MESH:D000086382	therapeutic			1
Acetazolamide	D000086	59-66-5	COVID-19	MESH:D000086382	therapeutic			1
Antiviral Agents	D000998		COVID-19	MESH:D000086382	therapeutic			1
BNT162 Vaccine	D000090982		COVID-19	MESH:D000086382	therapeutic			1
cannabidiolic acid	C006884	1244-58-2	COVID-19	MESH:D000086382	therapeutic			1
cannabigerolic acid	C100679	25555-57-1	COVID-19	MESH:D000086382	therapeutic			1
cepharanthine	C006947	481-49-2	COVID-19	MESH:D000086382	therapeutic			1
favipiravir	C462182		COVID-19	MESH:D000086382	therapeutic			1
galidesivir	C517546		COVID-19	MESH:D000086382	therapeutic			1
Heparin, Low-Molecular-Weight	D006495		COVID-19	MESH:D000086382	therapeutic			1
IDX184	C557801		COVID-19	MESH:D000086382	therapeutic			2
Mefloquine	D015767	53230-10-7	COVID-19	MESH:D000086382	therapeutic			1
nafamostat	C032855	81525-10-2	COVID-19	MESH:D000086382	therapeutic			1
plitidepsin	C098980		COVID-19	MESH:D000086382	therapeutic			1
remdesivir	C000606551		COVID-19	MESH:D000086382	therapeutic			12
rupintrivir	C118874		COVID-19	MESH:D000086382	therapeutic			1
selamectin	C414354		COVID-19	MESH:D000086382	therapeutic			1
setrobuvir	C000592794		COVID-19	MESH:D000086382	therapeutic			1
Sofosbuvir	D000069474		COVID-19	MESH:D000086382	therapeutic			2
Teicoplanin	D017334	61036-62-2	COVID-19	MESH:D000086382	therapeutic			1
Toremifene	D017312	89778-26-7	COVID-19	MESH:D000086382	therapeutic			1
umifenovir	C086979		COVID-19	MESH:D000086382	therapeutic			5
coagulin-L	C000593591		COVID-19	MESH:D000086382		CCL2|CCL3|CXCL10|CXCL8|IL10|IL1B|IL2|IL6|IL7|TNF	50,13	5
Alum Compounds	D000534		COVID-19	MESH:D000086382		CCL2|CCL3|CXCL10|CXCL8|IL10|IL1B|IL2|IL6|TNF	47,00	5
Hemagglutinins	D006388		COVID-19	MESH:D000086382		CCL2|CCL3|CXCL8|IL10|IL1B|IL2|IL6|TNF	45,61	5
endotoxin, Escherichia coli	C044101	67924-63-4	COVID-19	MESH:D000086382		AGT|CCL2|CCL3|CXCL10|CXCL8|IL10|IL1B|IL2RA|IL6|TNF	40,83	6
