Gene Symbol	Gene ID	Disease Name	Disease ID	Direct Evidence	Inference Network	Inference Score	Reference Count
CCL2	6347	COVID-19	MESH:D000086382	marker/mechanism	Active Hexose Correlated Compound|Azithromycin|baricitinib|camostat|Chloroquine|Choline|Dactinomycin|Hydroxychloroquine|Lopinavir|lopinavir-ritonavir drug combination|Losartan|Melatonin|Nifedipine|Ritonavir|Zinc|Zinc Sulfate	31,39	33
TNF	7124	COVID-19	MESH:D000086382	marker/mechanism	Active Hexose Correlated Compound|Azithromycin|betulinic acid|camostat|Chloroquine|Choline|Dactinomycin|Emodin|Hydroxychloroquine|Ivermectin|Lopinavir|Losartan|Melatonin|Nifedipine|Ribavirin|Ritonavir|Sirolimus|Tenofovir|Zinc|Zinc Sulfate	27,01	32
IL6	3569	COVID-19	MESH:D000086382	marker/mechanism	acalabrutinib|Active Hexose Correlated Compound|Azithromycin|Chloroquine|Choline|Dactinomycin|Emodin|Hydroxychloroquine|Lopinavir|lopinavir-ritonavir drug combination|Losartan|Melatonin|Ribavirin|Ritonavir|Sirolimus|Zinc|Zinc Sulfate	24,88	34
CXCL8	3576	COVID-19	MESH:D000086382	marker/mechanism	Active Hexose Correlated Compound|Azithromycin|Chloroquine|chloroquine diphosphate|Dactinomycin|Hydroxychloroquine|Ivermectin|lopinavir-ritonavir drug combination|Nifedipine|Ritonavir|Sirolimus|Tenofovir|Zinc|Zinc Sulfate	24,81	29
IL10	3586	COVID-19	MESH:D000086382	marker/mechanism	Active Hexose Correlated Compound|Chloroquine|Choline|Dactinomycin|Emodin|Hydroxychloroquine|Ivermectin|Losartan|Melatonin|Ribavirin|Sirolimus|Zinc	23,80	26
IL1B	3553	COVID-19	MESH:D000086382	marker/mechanism	Active Hexose Correlated Compound|Azithromycin|Chloroquine|chloroquine diphosphate|Choline|Dactinomycin|Emodin|Hydroxychloroquine|Lopinavir|Losartan|Melatonin|Nifedipine|Ribavirin|Sirolimus|Zinc|Zinc Sulfate	23,35	30
IL2	3558	COVID-19	MESH:D000086382	marker/mechanism	Active Hexose Correlated Compound|Chloroquine|Choline|Dactinomycin|Melatonin|Ribavirin|Sirolimus|Zinc|Zinc Sulfate	19,40	19
AGT	183	COVID-19	MESH:D000086382	marker/mechanism	Choline|Dactinomycin|Emodin|Losartan|Melatonin|Mercaptopurine|Nifedipine|Sirolimus|Zinc	18,46	8
CCL3	6348	COVID-19	MESH:D000086382	marker/mechanism	Choline|Ivermectin|Lopinavir|Losartan|Ritonavir|Zinc	12,97	11
CXCL10	3627	COVID-19	MESH:D000086382	marker/mechanism	Chloroquine|Hydroxychloroquine|Melatonin|Ritonavir|Sirolimus|Zinc	12,72	16
IL7	3574	COVID-19	MESH:D000086382	marker/mechanism	Choline|Interferon-alpha|Ritonavir	8,79	6
UGCG	7357	COVID-19	MESH:D000086382	marker/mechanism	(2-(2',3'-dihydrobenzo(1,4)dioxin-6'-yl)-2-hydroxy-1-pyrrolidin-1-ylmethylethyl)nonanoic acid amide|Zinc|Zinc Sulfate	8,38	4
CSF3	1440	COVID-19	MESH:D000086382	marker/mechanism	Choline|Zinc|Zinc Sulfate	6,60	5
BTK	695	COVID-19	MESH:D000086382	marker/mechanism	Choline|Sirolimus	6,55	3
CRP	1401	COVID-19	MESH:D000086382	marker/mechanism	acalabrutinib|Ivermectin|Zinc	6,24	6
LZTFL1	54585	COVID-19	MESH:D000086382	marker/mechanism	Choline|Ivermectin	6,00	5
TMPRSS2	7113	COVID-19	MESH:D000086382	marker/mechanism	camostat|Choline	5,31	5
IL2RA	3559	COVID-19	MESH:D000086382	marker/mechanism	Sirolimus|Zinc	4,99	5
TMPRSS4	56649	COVID-19	MESH:D000086382	marker/mechanism	Choline	2,91	2
TMEM106B	54664	COVID-19	MESH:D000086382	marker/mechanism	Zinc	2,77	3
ABO	28	COVID-19	MESH:D000086382	marker/mechanism			1
HCK	3055	COVID-19	MESH:D000086382	marker/mechanism			1
ACE2	59272	COVID-19	MESH:D000086382	marker/mechanism|therapeutic	Chloroquine|Losartan|Sirolimus	7,28	21
BSG	682	COVID-19	MESH:D000086382	therapeutic	Ivermectin|Zinc	5,17	5
TP53	7157	COVID-19	MESH:D000086382		betulinic acid|cepharanthine|Chloroquine|Choline|Dactinomycin|Emodin|Ivermectin|lopinavir-ritonavir drug combination|Losartan|Melatonin|Nifedipine|Ribavirin|Ritonavir|Sirolimus|Tenofovir|Zinc|Zinc Sulfate	31,54	27
